ddress,price,sqft,bd,ba
"741 Morosgo Dr NE, Atlanta, GA 30324","1136,1141,1151,1156,1159,1190,1191,1196,1210,1216,1225,1230,1250,1254,1270,1275,1280,1324,1344,1377,1436,1479,1507,1528,1535,1573,1600,1614,1633,1678,1695,1700,1791,1880,1884,1890,1900","576,589,639,655,689,690,745,747,763,796,812,825,890,915,974,1008,1034,1089,1105,1119,1158,1201,1208,1217,1219,1341","0,1,2","1,2"
"3330 Mountain Dr, Decatur, GA 30032","1225,1255,1325,1342","1075,1200","2,3","1,2"
"4403 Northside Pkwy, Atlanta, GA 30327","945,1135,1195,1210,1220,1225,1260,1265,1275,1280,1285,1300,1330,1345,1365,1375,1400,1405,1410,1425,1440,1450,1480,1500,1510,1525,1635,1665,1680,1755,1760,1785,1795,1805,1825,1845,1885,1990,2165,2185,2190,2275,2280,2650,2670,2835,2955","563,667,672,681,685,698,707,716,717,723,729,736,768,793,811,827,834,843,886,935,938,946,952,960,999,1040,1055,1062,1086,1110,1151,1152,1170,1197,1246,1267,1295,1324,1330,1344,1369,1468,1492,1520,1533,1672,1702,2333,2500,2854","0,1,2,3","1,2,25,35"
"3375 Spring Hill Pkwy SE, Smyrna, GA 30080","1130,1160,1175,1200,1230,1240,1260,1265,1295,1325,1335,1340,1365,1400,1425,1440,1495,1545,1550,1575,1580,1590,1595,1615,1620,1655,1680,2075,2080","526,591,593,596,601,613,692,697,703,713,781,783,794,825,845,872,874,905,920,925,958,990,1002,1105,1144,1191,1214,1241,1243,1263,1281,1290,1299,1304,1353,1380,1383,1385,1407,1458,1488","0,1,2,3","1,2"
"1155 Lavista Walk NE, Atlanta, GA 30324","1173,1183,1198,1199,1228,1238,1250,1253,1263,1711,1735,1755,1805,1816,1820,1855,1865,1871,1882","531,582,631,736,963,986,1111,1234,1251,1346,1389,1405,1436","1,2,3","1,2"
"225 26th St NW, Atlanta, GA 30309","1221,1291,1367,1371,1421,1441,1468,1476,1481,1487,1506,1520,1581,1582,1586,1601,1604,1612,1623,1651,1687,1690,1712,1713,1717,1747,1787,1858,1897,2746","611,670,706,756,797,801,932,965,1001,1045,1095,1144,1195,1800","0,1,2,3","1,2"
"1824 Defoor Ave NW, Atlanta, GA 30318","1350,1360,1450,1460,1480,1570,1580,1590,1795,1805,1815,1840,1980,2000,2850,2870,3060","716,828,838,895,1163,1195,1278,1549,1881","0,1,2,3","1,2,3"
"1270 Spring St NW, Atlanta, GA 30309","1550,1575,1675,1700,1719,2299,2350,2433,2437,2469,2499,2612,2623,389082","662,678,697,700,702,730,742,753,804,808,1078,1101,1107,1108,1135,1140,1151,1165,1312","1,2","1,2"
"22 14th St NW , Unit 3009, Atlanta, GA 30309","1962,1989,1998,2084,2089,2102,2198,2202,2228,2391,2446,2470,2482,2850,2973,2988,3058,3091,3102,3152,3153,3204,3237,3289,3397,3451,3575,3610,3680,3865,4056,4298,4455,4850,5855","601,625,749,812,830,1085,1102,1110,1116,1132,1201,1308,1478","0,1,2,3","1,2"
"626 Dekalb Ave SE, Atlanta, GA 30312","1315,1448,1468,1488,1498,1503,1518,1520,1528,1596,1683,1792,1801,1823,1855","709,738,780,801,824,884,934,1065,1072,1076,1094,1125,1188,1234,1602","1,2","1,2"
"1040 Huff Rd NW, Atlanta, GA 30318","1230,1270,1289,1295,1311,1322,1327,1328,1332,1335,1336,1346,1351,1357,1372,1386,1387,1415,1603,1613,1638,1648,1658,1661,1713,1723,1771,1776,1791,1793,1848","656,756,831,843,845,884,1046,1149,1152,1277","0,1,2","1,2"
"3380 Peachtree Rd NE, Atlanta, GA 30326","1430,1499,1509,1544,1545,1624,1699,1705,1729,1739,1789,1939,1969,2029,2039,2089,2139,2915,3090,3330,3009225","488,580,609,643,662,677,685,688,702,728,751,802,1034,1054,1178,1323,1357,1375,1412,1440,1446,1466,1523","0,1,2,3","1,2,3"
"1240 W Peachtree St NW, Atlanta, GA 30309","1552,1721,1832,1855,1922,1932,1949,2036,2116,2126,2149,2159,2168,2189,2198,2218,2226,2296,2300,2400,2733,2747,2783,2793,3053,3184,3234,3436,4824","650,690,734,756,822,860,902,911,975,1160,1212,1272,1294,1552","0,1,2","1,2"
"1250 Powder Springs Rd SW, Marietta, GA 30064","1066,1071,1086,1091,1106,1111,1116,1121,1126,1131,1136,1184,1194,1234,1244,1254,1493,1508","600,754,766,875,893,958,1115,1200,1213,1217","1,2,3","1,2"
"1010 W Peachtree St NW , # 641, Atlanta, GA 30309",2584,"539,692,727,729,745,834,863,877,880,914,946,1022,1056,1072,1073,1089,1143,1163,1264,1325,1469","0,1,2","1,2"
"3150 Roswell Rd NW , # 487757, Atlanta, GA 30305","1709,1760,1764,1833,1849,1850,1937,1953,1970,2075,2100,2104,2147,2148,2173,2177,2210,2220,2292,2293,2314,2508,2598,2623,2972,3006,3231,3371,3387,3416,3420,3435,3464,3471,3485,3500,3542,3551,3570,3580,3582,3672,3717,3739,3762,3912,3979,3985,4035,8096,9204","627,670,686,726,767,784,790,818,868,888,979,1227,1243,1289,1341,1353,1370,1380,1416,2189,2310","0,1,2,3","1,2,3"
