Address,Price,livingArea,bedrooms,bathroom
['5642 Windwood Rd'],['950'],"['627', '627', '\\""627 sqft\\""', '1254', 'null', '1232', '638', '638', '1232', '627', '627']","['3', '3', '3', '3', '2', '2', '2', '2', '2', '1', '3']","['2.5', '2.5', '3', '3', '3', '3', '2.5', '2.5', '2.5', '2.5', '2.5']"
['8229 Queens Dr'],['1475'],"['1939', '1939', '\\""1', '1318', '1352', '1488', '1326', '1040', '975', '1040', '1040', '1040', '1040', '1040']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3']","['1.5', '1.5', '2', '2', '2', '2', '1.5', '1', '1', '2', '1', '1', '1', '1']"
['318 Cheryl Ct'],['1245'],"['1352', '1352', '\\""1', '1488', '1318', '1352', '1800', '1304', '1253', '1127', '1298', '1204', '1161', '1304', '1056']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', '2']"
['2516 Fairview Ln'],['1499'],"['2340', '2340', '\\""2', '3760', '2950', '2236', '2440', '1138', '2276', '1165', '2648', '1072']","['4', '4', '4', '4', '4', '4', '4', '4', '3', '4', '4', '4']","['2.5', '2.5', '3', '2', '3', '3', '3', '2.5', '2.5', '2.5', '3', '2.5']"
['6548 Laurel Ln'],['1050'],"['1670', '1670', '\\""1', '1372', '1734', '1682', '1702', '1086', '1066', '1291', '1457', '1775']","['3', '3', '3', '3', '3', '3', '3', '4', '4', '3', '4', '3']","['2', '2', '2', '2', '2', '2', '2', '2', '2.5', '2', '2.5', '2']"
['7955 Taylor Cir'],['1350'],"['1500', '1500', '\\""1', '1417', '1734', '1344', '1201', '1352', '1397', '1767', '1236', '964']","['4', '4', '4', '4', '3', 'null', 'null', '1', '3', '4', '3', '3']","['2', '2', '2', '2', '2', '2', '2', '2', 'null', '3', '2', '1']"
['460 Paxton Pl'],['2000'],"['1280', '1280', '\\""1', '1132', '1260', '1276', '1308', '1076', '1738', '1080', '1102']","['3', '3', '3', '5', '3', '3', '3', '3', '4', '3', 'null']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
['8958 Ashwood Dr'],['975'],"['1028', '1028', '\\""1', '1028', '1084', '1152', '1194', '1333', '1056', '1084', '1046']","['3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3']","['1.5', '1.5', '2', '2', '1.5', '2', '1.5', '3', '1.5', '1.5', '1']"
['7702 Crestwicke Crossing Dr'],['1545'],"['2656', '2656', '\\""2', '1365', '1155', '2152', '2266', '2800', '3284', '1700', '1061']","['5', '5', '5', '3', '4', '4', '4', '4', '3', '3', '4']","['3', '3', '3', '2.5', '2.5', '3', '3', '2.5', '3.5', '2.5', '2.5']"
['980 Leeward Ln'],['1395'],"['1362', '1362', '\\""1', '1260', '1304', '1398', '1420', '1398', '1300', '1398', '1356', '1402']","['3', '3', '3', '4', '4', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
['6810 Red Maple Dr'],['1275'],"['1176', '1176', '\\""1', '1597', '1174', '1582', '1192', '1500', '1328', '1262', '1585', '1235']","['3', '3', '3', '3', '4', '5', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2.5', '3', '2', '2', '2', '2', '2', '2', '2']"
['3017 Medina Dr'],['1495'],"['1788', '1788', '\\""1', '2110', '1356', '1606', '1522', '1628', '1356', '1314', '1788', '1216', '1424', '1635', '1368', '1605', '1156']","['3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2.5', '2', '2.5', '2', 'null', '2', '2', '2', '2', '2', '3', '2', '2.5', '2']"
['1667 Deer Crossing Way'],['1795'],"['2148', '2148', '\\""2', '1500', '1580', '1291', '855', '1890', '1777', '1452', '2382', '2105']","['4', '4', '4', '4', '3', '3', '3', '4', '3', '3', '4', '4']","['2.5', '2.5', '3', '3', '2.5', '2.5', '2.5', '3', '3', '3', '2.5', '3']"
['5892 Amerson Ln'],['1280'],"['1353', '1353', '\\""1', '1101', '1256', '840', '920', '1294', '1500', '1680', '1294', '1353']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '4']","['3', '3', '3', '2', '2.5', '2.5', '2.5', '2.5', '2', '3', '2.5', '3']"
['997 Pineglen Dr'],['995'],"['1144', '1144', '\\""1', '1075', '1650', '1201', '1201', '976', '1800', '1196', '1201']","['3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '1.5', '2', '1.5', '2.5', '1', '2.5', '2', '1.5']"
['5777 Little River Rd'],['1450'],"['2090', '2090', '\\""2', '1512', '2006', '1486', '1122', '2244', '1850', '1122', '1098', '1573', '890', '1062']","['4', '4', '4', '3', '4', '3', '4', '3', '3', '4', '4', '3', '3', '4']","['2.5', '2.5', '3', '2', '2.5', '2.5', '2.5', '2', '3', '2.5', '2.5', '3', '2.5', '2.5']"
['6598 River Glen Dr'],['1450'],"['1372', '1372', '\\""1', '1584', '1506', '1324', '1320', '837', '1314', '1494', '1400', '1380']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', 'null', '3']","['2', '2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2']"
['7799 Park Ln'],['1000'],"['1112', '1112', '\\""1', '1062', '1020', '2549', '1662', '1304', '1251', '1212', '1317']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3']","['1.5', '1.5', '2', '1.5', '2', '1.5', '3', '2', '2', '2', '2']"
['6833 Bent Creek Dr'],['1375'],"['2024', '2024', '\\""2', '1597', '1512', '1872', '1176', '1320', '1356', '1310', '1356', '938', '1496', '1565', '1454', '1904', '2024', '1802', '1318']","['3', '3', '3', '3', '4', '4', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3']","['2', '2', '2', '2.5', '2', '2', '2', '3', '2', '2', '2', '2.5', '2', '3', '2', '2.5', '2', '3', '2']"
['1856 Holston Dr'],['1415'],"['1572', '1572', '\\""1', '1335', '2198', '1634', '1717', '1524', '1438', '1549', '1748', '1748']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
['5968 Friar Ct'],['950'],"['null', 'null', '1298', '1431', '2602', '1280', '1061', '1061', '1061', 'null', '1938']","['2', '2', '2', '3', '4', '5', '4', '2', '1', '2', '1', '4']","['1', '1', '1', '2', '3', '4', '6', '2.5', 'null', '2.5', '1', '2']"
['10162 Commons Way'],['1277'],"['1526', '1526', '\\""1', '1344', '1226', '1308', '2367', '1348', '1232', '1455', '1144', '1100', '1455', '1487', '1682', '1170', '1120']","['3', '3', '3', '3', '5', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3']","['2', '2', '2', '2.5', '3', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2.5', '2', '2.5']"
['5795 Williamsburg Trce'],['850'],"['null', 'null', '1000', '2024', 'null', '1200', '2024', '2024', 'null', '2408']","['2', '2', '2', '2', '4', '0', '2', 'null', '0', '0', '0']","['2', '2', '2', '2', '4', 'null', '2', '4', 'null', 'null', 'null']"
['1581 Norman Xing'],['1245'],"['1512', '1512', '\\""1', '1486', 'null', '954', '1730', '1082', '684', '994', '1082', '1056', '954']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
['7313 Aubrey Dr'],['1800'],"['2200', '2200', '\\""2', '1202', '1530', '1995', '1778', '2200', '1176', '1176', '1176', '1797', '1188', '1202']","['5', '5', '5', '3', '3', '4', '4', '3', '3', '3', '3', '4', '3', '3']","['3.5', '3.5', '4', '2', '2.5', '3', '2', '2', '2', '1.5', '2', '2', '1', '2']"
['1208 Pineglen Dr'],['1049'],"['2406', '2406', '\\""2', '975', '1053', '1053', '1014', '1053', '1553', '999', '1053']","['3', '3', '3', '3', '3', '3', '3', '3', '5', '3', '3']","['1.5', '1.5', '2', '1.5', '1.5', '1.5', '1.5', '1', '2', '1', '1']"
['6697 Bent Creek Dr'],['1125'],"['1597', '1597', '\\""1', '1512', '1310', '2024', '1320', '1850', '1169', '1253', '1605', '1227', '1330', '1227', '1330']","['3', '3', '3', '4', '3', '3', '4', '4', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2', '2', '2', '3', '2', '2', '2', '2', '2', '2', '2', '2']"
['6698 Fielder Rd'],['1365'],"['1320', '1320', '\\""1', '1597', '1310', '1176', '1512', '1872', '2024', 'null', '2320', 'null', '1320', '1320', '1080', '1080', '1358']","['4', '4', '4', '3', '3', '3', '4', '4', '3', '0', '4', '0', '3', '3', '3', '3', '3']","['3', '3', '3', '2.5', '2', '2', '2', '2', '2', 'null', '3', 'null', '2', '2', '2', '3', '1.5']"
['772 Boston Cmn'],['950'],"['1200', '1200', '\\""1', '627', '1200', '1200', '1200', '1200', '1200', '1200', '1200', '1200']","['3', '3', '3', '3', '2', '2', '3', '3', '3', '2', '3', '3']","['2', '2', '2', '2.5', '2', '2', '2', '2', '2', '2', '2', '2']"
['8618 Thomas Ln'],['995'],"['1540', '1540', '\\""1', '1556', '766', '1540', '1540', '1556', '765', '1556', '1530']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5']"
['6601 Piazza Dr'],['1900'],"['3506', '3506', '\\""3', '2197', '1937', '2367', '2309', '3506', '3000', '3506', '1507', '1554', '1753', '1612', '1753']","['5', '5', '5', '5', '3', '3', '4', '6', '6', '6', '4', '3', '5', '4', '5']","['3', '3', '3', '3', '2', '2', '2.5', '3', '4', '3', '3.5', '5', '3', '3', '3']"
['8138 Green Garden Dr'],['1580'],"['2250', '2250', '\\""2', '1800', '1111', 'null', 'null', '1527', '1164', '925', '2238', '1282']","['3', '3', '3', '3', '3', '0', '0', '3', '4', '3', '3', '4']","['2.5', '2.5', '3', '2', '2.5', 'null', 'null', '3', '2.5', '2.5', '3', '3']"
['7475 Garnet Dr'],['1625'],"['1924', '1924', '\\""1', '2232', '910', '1155', '1405', '2232', '1116', '1006', '1116', '975']","['3', '3', '3', '4', '3', '2', '3', '4', '3', '3', '4', '3']","['3', '3', '3', '2.5', '1', '1', '1', '3', '2.5', '2.5', '2.5', '1']"
['11849 Registry Blvd'],['1495'],"['2358', '2358', '\\""2', '2228', '2992', '1660', '2228', '2137', '1406', '2025', '1869', '1550', '2188', '1094']","['4', '4', '4', '3', '5', '3', '4', '4', '4', '4', '3', '4', '3', '4']","['3', '3', '3', '3', '2', '2.5', '3', '3', '3', '3', '2.5', '3.5', '3', '3']"
['886 Terance Ave'],['1450'],"['2200', '2200', '\\""2', '1514', '1308', '1994', '1252', '807', '1892', '1041', '1524', '1874', '893', '1882']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2', '2', '3', '2', '2.5', '2.5', '2.5', '2', '3', '2.5', '2']"
['395 River Oak Dr'],['1050'],"['1000', '1000', '\\""1', '1128', '1748', '1001', '1100', '1500', '1372', '1025', '832']","['2', '2', '2', '5', '5', '2', '3', '3', '3', '4', '3']","['1.5', '1.5', '2', '4', '2', '1', '1', '1.5', '2', '2', '2']"
